IndexName,Date,Close,EPS,P/E,P/B,Div Yield %
NIFTY 50,12-Sep-02,1001.65,67,14.9,2.5,2.15
NIFTY 50,11-Sep-02,998.85,67,14.86,3.02,1.84
NIFTY 50,09-Sep-02,998.55,67,14.86,3.02,1.84
NIFTY 50,06-Sep-02,995.2,67,14.81,3.01,1.96
NIFTY 50,05-Sep-02,1008.6,67,15.01,3.05,1.97
NIFTY 50,04-Sep-02,1006.95,67,14.98,3.05,1.94
NIFTY 50,03-Sep-02,1001.1,67,14.9,3.03,1.97
NIFTY 50,02-Sep-02,1013.5,67,15.08,3.07,1.95
NIFTY 50,30-Aug-02,1010.6,67,15.04,3.06,1.95
NIFTY 50,29-Aug-02,987.25,67,14.69,2.99,2.02
NIFTY 50,28-Aug-02,985.7,67,14.67,2.98,2.01
NIFTY 50,27-Aug-02,987.7,67,14.7,2.99,2.01
NIFTY 50,26-Aug-02,998.85,67,14.86,3.02,1.98
NIFTY 50,23-Aug-02,995.2,67,14.81,3.01,2.02
NIFTY 50,22-Aug-02,985.7,67,14.66,2.98,2.04
NIFTY 50,21-Aug-02,988.45,67,14.71,2.98,2.14
NIFTY 50,20-Aug-02,988.55,67,14.71,2.99,2.14
NIFTY 50,19-Aug-02,979.85,67,14.58,2.96,2.16
NIFTY 50,16-Aug-02,979.25,67,14.57,2.96,2.16
NIFTY 50,14-Aug-02,969.65,67,14.43,2.93,2.16
NIFTY 50,13-Aug-02,976.05,67,14.52,2.95,2.12
NIFTY 50,12-Aug-02,969.85,67,14.43,2.93,2.13
NIFTY 50,09-Aug-02,961.95,67,14.31,2.9,2.15
NIFTY 50,08-Aug-02,953.55,67,14.19,2.88,2.17
NIFTY 50,07-Aug-02,969.1,67,14.41,2.42,2.22
NIFTY 50,06-Aug-02,966.65,67,14.38,2.41,2.22
NIFTY 50,05-Aug-02,963.25,67,14.33,2.4,2.23
NIFTY 50,02-Aug-02,954.75,67,14.2,2.38,2.25
NIFTY 50,01-Aug-02,957.7,67,14.24,2.39,2.25
NIFTY 50,31-Jul-02,958.9,67,14.26,2.39,2.24
NIFTY 50,30-Jul-02,960.65,67,14.29,2.4,2.24
NIFTY 50,29-Jul-02,971.65,67,14.45,2.42,2.21
NIFTY 50,26-Jul-02,973.5,67,14.48,2.43,2.21
NIFTY 50,25-Jul-02,1001.55,67,14.9,2.5,2.15
NIFTY 50,24-Jul-02,1004.05,67,14.93,2.5,2.14
NIFTY 50,23-Jul-02,1021.9,67,15.2,2.55,2.1
NIFTY 50,22-Jul-02,1012,67,15.05,2.52,2.12
NIFTY 50,19-Jul-02,1035.9,67,15.41,2.58,2.08
NIFTY 50,18-Jul-02,1041.3,67,15.49,2.6,2.06
NIFTY 50,17-Jul-02,1032.55,67,15.36,2.58,2.08
NIFTY 50,16-Jul-02,1035.95,67,15.41,2.58,2.08
NIFTY 50,15-Jul-02,1048,67,15.59,2.61,2.05
NIFTY 50,12-Jul-02,1058.25,67,15.74,2.64,2.03
NIFTY 50,11-Jul-02,1056.6,67,15.71,2.64,2.03
NIFTY 50,10-Jul-02,1071.7,67,15.94,2.67,2.01
NIFTY 50,09-Jul-02,1080.3,67,16.07,2.69,1.99
NIFTY 50,08-Jul-02,1082.05,67,16.09,2.7,1.99
NIFTY 50,05-Jul-02,1073.8,67,15.97,2.68,2
NIFTY 50,04-Jul-02,1070.55,67,15.92,2.67,2.01
NIFTY 50,03-Jul-02,1069.9,67,15.91,2.67,2.01
NIFTY 50,02-Jul-02,1068.05,67,15.88,2.66,2.01
NIFTY 50,01-Jul-02,1068.95,67,15.9,2.67,2.01
NIFTY 50,28-Jun-02,1057.8,67,15.73,3.2,1.34
NIFTY 50,27-Jun-02,1048.55,67,15.56,3.18,1.35
NIFTY 50,26-Jun-02,1044.2,67,15.48,3.17,1.35
NIFTY 50,25-Jun-02,1055.4,67,15.64,3.2,1.32
NIFTY 50,24-Jun-02,1061.85,67,15.74,3.22,1.32
NIFTY 50,21-Jun-02,1062.55,67,15.75,3.22,1.31
NIFTY 50,20-Jun-02,1070.05,67,15.86,3.24,1.36
NIFTY 50,19-Jun-02,1062.9,65,16.4,3.24,1.35
NIFTY 50,18-Jun-02,1074.95,65,16.58,3.28,1.33
NIFTY 50,17-Jun-02,1088.9,65,16.8,3.32,1.31
NIFTY 50,14-Jun-02,1085.7,65,16.74,3.3,1.31
NIFTY 50,13-Jun-02,1082.85,65,16.72,3.27,1.4
NIFTY 50,12-Jun-02,1092.8,65,16.87,3.3,1.39
NIFTY 50,11-Jun-02,1097.05,65,16.93,3.31,1.35
