date,symbol,weight,in_index,source
2008-07-31,ACC,0.41992,1.0,historic_data_figshare
2008-07-31,AMBUJACEM,0.46991,1.0,historic_data_figshare
2008-07-31,BHARTIARTL,5.78884,1.0,historic_data_figshare
2008-07-31,BHEL,3.14937,1.0,historic_data_figshare
2008-07-31,BPCL,0.44991,1.0,historic_data_figshare
2008-07-31,CAIRN,1.74965,1.0,historic_data_figshare
2008-07-31,CIPLA,0.64987,1.0,historic_data_figshare
2008-07-31,DLF,3.32933,1.0,historic_data_figshare
2008-07-31,DRREDDY,0.36993,1.0,historic_data_figshare
2008-07-31,GAIL,1.20976,1.0,historic_data_figshare
2008-07-31,GRASIM,0.62987,1.0,historic_data_figshare
2008-07-31,HCLTECH,0.5099,1.0,historic_data_figshare
2008-07-31,HDFC,2.46951,1.0,historic_data_figshare
2008-07-31,HDFCBANK,1.77964,1.0,historic_data_figshare
2008-07-31,HEROMOTOCO,0.60988,1.0,historic_data_figshare
2008-07-31,HINDALCO,0.65987,1.0,historic_data_figshare
2008-07-31,HINDUNILVR,1.9896,1.0,historic_data_figshare
2008-07-31,ICICIBANK,2.70946,1.0,historic_data_figshare
2008-07-31,IDEA,0.88982,1.0,historic_data_figshare
2008-07-31,INFY,3.45931,1.0,historic_data_figshare
2008-07-31,ITC,2.68946,1.0,historic_data_figshare
2008-07-31,LT,2.90942,1.0,historic_data_figshare
2008-07-31,M&M,0.4899,1.0,historic_data_figshare
2008-07-31,MARUTI,0.63987,1.0,historic_data_figshare
2008-07-31,NATIONALUM,1.04979,1.0,historic_data_figshare
2008-07-31,NTPC,5.36893,1.0,historic_data_figshare
2008-07-31,ONGC,8.13837,1.0,historic_data_figshare
2008-07-31,PNB,0.53989,1.0,historic_data_figshare
2008-07-31,POWERGRID,1.5197,1.0,historic_data_figshare
2008-07-31,RANBAXY,0.70986,1.0,historic_data_figshare
2008-07-31,RCOM,3.94921,1.0,historic_data_figshare
2008-07-31,RELIANCE,12.25753,1.0,historic_data_figshare
2008-07-31,RELINFRA,0.85983,1.0,historic_data_figshare
2008-07-31,RPL,2.82943,1.0,historic_data_figshare
2008-07-31,SAIL,2.21956,1.0,historic_data_figshare
2008-07-31,SATYAMCOMP,0.9798,1.0,historic_data_figshare
2008-07-31,SBIN,3.43931,1.0,historic_data_figshare
2008-07-31,SIEMENS,0.70986,1.0,historic_data_figshare
2008-07-31,STER,1.71966,1.0,historic_data_figshare
2008-07-31,SUNPHARMA,1.11978,1.0,historic_data_figshare
2008-07-31,SUZLON,1.27974,1.0,historic_data_figshare
2008-07-31,TATACOMM,0.4899,1.0,historic_data_figshare
2008-07-31,TATAMOTORS,0.58988,1.0,historic_data_figshare
2008-07-31,TATAPOWER,0.9798,1.0,historic_data_figshare
2008-07-31,TATASTEEL,1.82963,1.0,historic_data_figshare
2008-07-31,TCS,3.11938,1.0,historic_data_figshare
2008-07-31,UNITECH,1.0198,1.0,historic_data_figshare
2008-07-31,WIPRO,2.31954,1.0,historic_data_figshare
2008-07-31,ZEEL,0.31994,1.0,historic_data_figshare
2008-08-31,ABB,0.70021,1.0,historic_data_figshare
2008-08-31,ACC,0.40012,1.0,historic_data_figshare
2008-08-31,AMBUJACEM,0.46014,1.0,historic_data_figshare
2008-08-31,BHARTIARTL,6.02181,1.0,historic_data_figshare
2008-08-31,BHEL,3.17095,1.0,historic_data_figshare
2008-08-31,BPCL,0.41012,1.0,historic_data_figshare
2008-08-31,CAIRN,1.78053,1.0,historic_data_figshare
2008-08-31,CIPLA,0.71021,1.0,historic_data_figshare
2008-08-31,DLF,3.18095,1.0,historic_data_figshare
2008-08-31,DRREDDY,0.37011,1.0,historic_data_figshare
2008-08-31,GAIL,1.27038,1.0,historic_data_figshare
2008-08-31,GRASIM,0.6702,1.0,historic_data_figshare
2008-08-31,HCLTECH,0.59018,1.0,historic_data_figshare
2008-08-31,HDFC,2.52076,1.0,historic_data_figshare
2008-08-31,HDFCBANK,2.06062,1.0,historic_data_figshare
2008-08-31,HEROMOTOCO,0.63019,1.0,historic_data_figshare
2008-08-31,HINDALCO,0.81024,1.0,historic_data_figshare
2008-08-31,HINDUNILVR,2.03061,1.0,historic_data_figshare
2008-08-31,ICICIBANK,2.83085,1.0,historic_data_figshare
2008-08-31,IDEA,0.82025,1.0,historic_data_figshare
2008-08-31,INFY,3.79114,1.0,historic_data_figshare
2008-08-31,ITC,2.69081,1.0,historic_data_figshare
2008-08-31,LT,2.87086,1.0,historic_data_figshare
2008-08-31,M&M,0.54016,1.0,historic_data_figshare
2008-08-31,MARUTI,0.71021,1.0,historic_data_figshare
2008-08-31,NATIONALUM,0.94028,1.0,historic_data_figshare
2008-08-31,NTPC,5.46164,1.0,historic_data_figshare
2008-08-31,ONGC,8.29249,1.0,historic_data_figshare
2008-08-31,PNB,0.57017,1.0,historic_data_figshare
2008-08-31,POWERGRID,1.48044,1.0,historic_data_figshare
2008-08-31,RANBAXY,0.74022,1.0,historic_data_figshare
2008-08-31,RCOM,3.09093,1.0,historic_data_figshare
2008-08-31,RELIANCE,11.77353,1.0,historic_data_figshare
2008-08-31,RELINFRA,0.87026,1.0,historic_data_figshare
2008-08-31,RPL,2.6808,1.0,historic_data_figshare
2008-08-31,SAIL,2.44073,1.0,historic_data_figshare
2008-08-31,SATYAMCOMP,1.07032,1.0,historic_data_figshare
2008-08-31,SBIN,3.38101,1.0,historic_data_figshare
2008-08-31,SIEMENS,0.70021,1.0,historic_data_figshare
2008-08-31,STER,1.6805,1.0,historic_data_figshare
2008-08-31,SUNPHARMA,1.16035,1.0,historic_data_figshare
2008-08-31,SUZLON,1.24037,1.0,historic_data_figshare
2008-08-31,TATACOMM,0.45014,1.0,historic_data_figshare
2008-08-31,TATAMOTORS,0.64019,1.0,historic_data_figshare
2008-08-31,TATAPOWER,0.88026,1.0,historic_data_figshare
