date,nifty_pe,nifty_pb,nifty_dividend_yield,nifty_close,nifty_eps,source,source_file
1999-09-09,21.69,3.86,1.05,1396.9,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-10,21.6,3.85,1.05,1391.1,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-14,21.28,3.79,1.07,1370.55,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-15,21.34,3.8,1.06,1374.7,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-16,20.98,3.74,1.08,1351.2,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-17,21.11,3.76,1.08,1359.7,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-20,21.06,3.76,1.08,1357.85,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-21,20.95,3.74,1.08,1350.6,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-22,21.51,3.84,1.06,1386.45,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-23,21.68,3.87,1.05,1398.0,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-24,21.91,3.91,1.04,1412.25,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-27,21.55,3.84,1.06,1389.5,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-28,21.39,3.82,1.06,1379.15,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-29,21.99,3.92,1.04,1415.3,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-30,21.96,3.92,1.04,1413.1,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-01,21.81,3.89,1.09,1403.2,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-04,21.33,3.8,0.93,1372.3,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-05,21.42,3.82,1.11,1378.15,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-06,21.73,3.88,1.1,1392.7,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-07,22.94,4.09,1.04,1469.75,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-08,23.08,4.12,1.03,1479.25,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-11,23.16,4.13,1.03,1484.0,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-12,23.16,4.13,1.03,1483.85,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-13,23.35,4.17,1.02,1496.3,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-14,23.49,4.19,1.01,1505.2,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-15,22.65,4.04,1.05,1454.55,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-18,22.48,4.01,1.06,1444.05,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-20,23.01,4.11,1.03,1477.65,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-21,22.63,4.04,1.05,1453.35,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-22,22.27,3.98,1.07,1430.25,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-23,22.57,4.03,1.05,1449.8,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-25,22.21,3.96,1.07,1426.2,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-26,22.02,3.93,1.08,1414.35,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-27,21.99,3.92,1.08,1411.4,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-28,21.31,3.8,1.12,1367.7,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-10-29,20.65,3.69,1.15,1325.45,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-01,19.78,3.53,1.2,1270.0,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-02,20.75,3.7,1.15,1332.2,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-03,20.66,3.69,1.17,1326.4,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-04,20.83,3.72,1.16,1336.8,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-05,21.26,3.79,1.14,1364.55,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-07,21.34,3.81,1.14,1369.6,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-09,21.36,3.81,1.14,1371.2,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-10,21.64,3.86,1.12,1389.1,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-11,21.65,3.86,1.12,1389.6,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-12,21.41,3.82,1.14,1373.55,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-15,21.24,3.79,1.14,1362.7,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-16,21.16,3.78,1.15,1357.75,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-17,21.1,3.77,1.15,1352.25,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
